div_dpto;departamento;ano;casos;proyeccion;tasa;hist_dpto;porcentaje
11;BOGOTÁ D.C. (CT);2012;1267;7195980;17.60705282671714;15968;7.934619238476954
11;BOGOTÁ D.C. (CT);2011;1638;7152656;22.900584062759346;15968;10.258016032064129
11;BOGOTÁ D.C. (CT);2010;454;7096886;6.397171942736574;15968;2.843186372745491
13;BOLÍVAR;2023;515;2258929;22.798414646941097;5665;9.090909090909092
13;BOLÍVAR;2022;618;2236603;27.63118890567526;5665;10.909090909090908
13;BOLÍVAR;2021;427;2213061;19.29454271707829;5665;7.537511032656664
13;BOLÍVAR;2020;478;2180976;21.91679321551452;5665;8.437775816416593
13;BOLÍVAR;2019;383;2130512;17.97689944952199;5665;6.76081200353045
13;BOLÍVAR;2018;386;2070110;18.646352126215515;5665;6.813768755516328
13;BOLÍVAR;2017;404;2035711;19.84564606665681;5665;7.131509267431597
13;BOLÍVAR;2016;387;2013010;19.22494175389094;5665;6.831421006178287
13;BOLÍVAR;2015;405;1993760;20.313377738544258;5665;7.149161518093557
13;BOLÍVAR;2014;405;1977478;20.480632401472988;5665;7.149161518093557
13;BOLÍVAR;2013;427;1961250;21.77182919056724;5665;7.537511032656664
13;BOLÍVAR;2012;382;1944299;19.647183895069634;5665;6.7431597528684915
13;BOLÍVAR;2011;335;1926597;17.38817199445447;5665;5.913503971756398
13;BOLÍVAR;2010;113;1907930;5.922649153794951;5665;1.994704324801412
63;QUINDÍO;2023;142;577543;24.58691387481105;2817;5.040823571175009
63;QUINDÍO;2022;161;569569;28.266987845195228;2817;5.715299964501242
63;QUINDÍO;2021;189;562117;33.622893454565514;2817;6.7092651757188495
63;QUINDÍO;2020;201;555401;36.190068076939006;2817;7.135250266240682
63;QUINDÍO;2019;193;547855;35.2282994587984;2817;6.851260205892793
63;QUINDÍO;2018;211;539904;39.08102181128497;2817;7.490237841675541
63;QUINDÍO;2017;201;533966;37.64284617372642;2817;7.135250266240682
63;QUINDÍO;2016;260;529891;49.0666948485632;2817;9.229676961306355
63;QUINDÍO;2015;271;526484;51.47354905372244;2817;9.620163294284701
63;QUINDÍO;2014;230;523970;43.895642880317574;2817;8.164714235001775
63;QUINDÍO;2013;248;522157;47.495293561131994;2817;8.803691870784522
63;QUINDÍO;2012;237;520697;45.51591424571296;2817;8.413205537806178
63;QUINDÍO;2011;208;519089;40.0701999079156;2817;7.383741569045084
63;QUINDÍO;2010;65;517347;12.564101077226695;2817;2.3074192403265887
91;AMAZONAS;2023;17;83808;20.28445971744941;180;9.444444444444445
91;AMAZONAS;2022;32;82068;38.992055368718624;180;17.77777777777778
91;AMAZONAS;2021;24;80464;29.82700338039372;180;13.333333333333334
91;AMAZONAS;2020;7;79020;8.85851683118198;180;3.888888888888889
91;AMAZONAS;2019;6;77753;7.716744048461153;180;3.3333333333333335
91;AMAZONAS;2018;8;76589;10.445364216793536;180;4.444444444444445
